,Data e hora protocolo_Atuado,Valor_Atuado,Data e hora protocolo_Desatuado,Valor_Desatuado,Timespan
1142,2023-10-11 13:53:42.476,1,2023-10-11 13:53:49.584,0,0 days 00:00:07.108000
1143,2023-10-11 13:55:11.847,1,2023-10-11 13:55:18.954,0,0 days 00:00:07.107000
1144,2023-10-11 13:55:34.185,1,2023-10-11 13:55:45.370,0,0 days 00:00:11.185000
1145,2023-10-11 13:56:48.340,1,2023-10-11 13:56:54.433,0,0 days 00:00:06.093000
1146,2023-10-11 13:56:59.510,1,2023-10-11 13:57:06.617,0,0 days 00:00:07.107000
1147,2023-10-11 13:57:27.941,1,2023-10-11 13:57:42.156,0,0 days 00:00:14.215000
1148,2023-10-11 13:57:59.433,1,2023-10-11 13:58:13.649,0,0 days 00:00:14.216000
1149,2023-10-11 13:58:17.710,1,2023-10-11 13:58:42.080,0,0 days 00:00:24.370000
1150,2023-10-11 13:58:51.218,1,2023-10-11 13:58:57.326,0,0 days 00:00:06.108000
1151,2023-10-11 13:59:05.450,1,2023-10-11 13:59:16.619,0,0 days 00:00:11.169000
1152,2023-10-11 13:59:20.680,1,2023-10-11 13:59:27.788,0,0 days 00:00:07.108000
1153,2023-10-11 13:59:48.096,1,2023-10-11 14:00:03.343,0,0 days 00:00:15.247000
1154,2023-10-11 14:00:17.558,1,2023-10-11 14:00:32.789,0,0 days 00:00:15.231000
1155,2023-10-11 14:00:36.851,1,2023-10-11 14:00:43.958,0,0 days 00:00:07.107000
1156,2023-10-11 14:00:52.081,1,2023-10-11 14:01:14.436,0,0 days 00:00:22.355000
1157,2023-10-11 14:01:32.713,1,2023-10-11 14:01:47.944,0,0 days 00:00:15.231000
1158,2023-10-11 14:02:14.360,1,2023-10-11 14:02:25.529,0,0 days 00:00:11.169000
1159,2023-10-11 14:02:43.806,1,2023-10-11 14:02:59.037,0,0 days 00:00:15.231000
1160,2023-10-11 14:03:16.299,1,2023-10-11 14:03:35.607,0,0 days 00:00:19.308000
1161,2023-10-11 14:03:57.945,1,2023-10-11 14:04:04.038,0,0 days 00:00:06.093000
1162,2023-10-11 14:04:08.099,1,2023-10-11 14:04:16.222,0,0 days 00:00:08.123000
1163,2023-10-11 14:04:29.438,1,2023-10-11 14:04:44.669,0,0 days 00:00:15.231000
1164,2023-10-11 14:04:48.731,1,2023-10-11 14:05:08.023,0,0 days 00:00:19.292000
1165,2023-10-11 14:05:14.115,1,2023-10-11 14:05:41.547,0,0 days 00:00:27.432000
1166,2023-10-11 14:05:57.793,1,2023-10-11 14:06:10.993,0,0 days 00:00:13.200000
1167,2023-10-11 14:06:18.101,1,2023-10-11 14:06:28.255,0,0 days 00:00:10.154000
1168,2023-10-11 14:06:31.301,1,2023-10-11 14:06:44.517,0,0 days 00:00:13.216000
1169,2023-10-11 14:07:13.963,1,2023-10-11 14:07:41.379,0,0 days 00:00:27.416000
1170,2023-10-11 14:07:58.656,1,2023-10-11 14:08:37.241,0,0 days 00:00:38.585000
1171,2023-10-11 14:09:13.811,1,2023-10-11 14:09:31.072,0,0 days 00:00:17.261000
1172,2023-10-11 14:10:32.012,1,2023-10-11 14:10:41.150,0,0 days 00:00:09.138000
1173,2023-10-11 14:11:10.612,1,2023-10-11 14:11:28.889,0,0 days 00:00:18.277000
1174,2023-10-11 14:11:35.997,1,2023-10-11 14:11:40.059,0,0 days 00:00:04.062000
1175,2023-10-11 14:12:23.736,1,2023-10-11 14:12:27.798,0,0 days 00:00:04.062000
1176,2023-10-11 14:13:07.398,1,2023-10-11 14:13:18.583,0,0 days 00:00:11.185000
